run_prefix,db_name,study_name,architecture,encoder_name,trial,fold,epoch,train_loss,valid_loss,validation_mean_iou,validation_mean_dice,validation_pixel_accuracy,learning_rate,epoch_time_sec,loss,class_weights,class_weight_strategy,ce_weight,dice_weight,foreground_aux_weight,validation_loss_mode,batch_size,device,use_amp
fair_resnet50_v2,fair_resnet50_v2_fcn32s_resnet50_dil0_bilin1_pre1,fcn32s_resnet50_dil0_bilin1_pre1,fcn32s,resnet50,0,0,0,0.05821665994547032,0.035541340708732605,0.4659480454299734,0.5286441111130161,0.9654982364704332,0.0005611516415334506,85.44418819999555,dice,none,inverse_frequency,1.0,1.0,0.0,dice,4,cuda,True
fair_resnet50_v2,fair_resnet50_v2_fcn32s_resnet50_dil0_bilin1_pre1,fcn32s_resnet50_dil0_bilin1_pre1,fcn32s,resnet50,0,0,1,0.03686267076819031,0.032318271696567535,0.5677870244666449,0.6832887943542253,0.9687363159251802,0.0005611516415334506,19.47036410000146,dice,none,inverse_frequency,1.0,1.0,0.0,dice,4,cuda,True
fair_resnet50_v2,fair_resnet50_v2_fcn32s_resnet50_dil0_bilin1_pre1,fcn32s_resnet50_dil0_bilin1_pre1,fcn32s,resnet50,0,0,2,0.034629589595176556,0.030086634680628777,0.6036587181721506,0.7209591349221284,0.9705985249473225,0.0005611516415334506,18.827885500002594,dice,none,inverse_frequency,1.0,1.0,0.0,dice,4,cuda,True
fair_resnet50_v2,fair_resnet50_v2_fcn32s_resnet50_dil0_bilin1_pre1,fcn32s_resnet50_dil0_bilin1_pre1,fcn32s,resnet50,0,0,3,0.032095668161356894,0.030036717653274536,0.6221376362711449,0.7401932218034252,0.9709507593739435,0.0005611516415334506,18.340774299998884,dice,none,inverse_frequency,1.0,1.0,0.0,dice,4,cuda,True
fair_resnet50_v2,fair_resnet50_v2_fcn32s_resnet50_dil0_bilin1_pre1,fcn32s_resnet50_dil0_bilin1_pre1,fcn32s,resnet50,0,0,4,0.032533813737056876,0.02896975539624691,0.6185000543640391,0.7361988723511952,0.9714503110570589,0.0005611516415334506,19.17883869999787,dice,none,inverse_frequency,1.0,1.0,0.0,dice,4,cuda,True
fair_resnet50_v2,fair_resnet50_v2_fcn32s_resnet50_dil0_bilin1_pre1,fcn32s_resnet50_dil0_bilin1_pre1,fcn32s,resnet50,0,0,5,0.030752106507619222,0.029871219769120216,0.5572982918013448,0.6629065613402878,0.9705136111990552,0.0005611516415334506,20.347334600002796,dice,none,inverse_frequency,1.0,1.0,0.0,dice,4,cuda,True
fair_resnet50_v2,fair_resnet50_v2_fcn32s_resnet50_dil0_bilin1_pre1,fcn32s_resnet50_dil0_bilin1_pre1,fcn32s,resnet50,0,0,6,0.030230232466150215,0.027952449396252632,0.635815690286241,0.7521073904009121,0.9725620313444296,0.0005611516415334506,22.913210000006075,dice,none,inverse_frequency,1.0,1.0,0.0,dice,4,cuda,True
fair_resnet50_v2,fair_resnet50_v2_fcn32s_resnet50_dil0_bilin1_pre1,fcn32s_resnet50_dil0_bilin1_pre1,fcn32s,resnet50,0,0,7,0.029481325767658374,0.02797614596784115,0.6480367265167007,0.7639493758625256,0.9725523710030909,0.0005611516415334506,20.13775020000321,dice,none,inverse_frequency,1.0,1.0,0.0,dice,4,cuda,True
fair_resnet50_v2,fair_resnet50_v2_fcn32s_resnet50_dil0_bilin1_pre1,fcn32s_resnet50_dil0_bilin1_pre1,fcn32s,resnet50,0,0,8,0.029223862124813926,0.027290450409054756,0.6449940235587569,0.7613012766496926,0.9731454769554682,0.0005611516415334506,19.644166300000506,dice,none,inverse_frequency,1.0,1.0,0.0,dice,4,cuda,True
fair_resnet50_v2,fair_resnet50_v2_fcn32s_resnet50_dil0_bilin1_pre1,fcn32s_resnet50_dil0_bilin1_pre1,fcn32s,resnet50,0,0,9,0.028870757586426207,0.02682321146130562,0.6705104300074322,0.7842052078595069,0.9737922233370323,0.0005611516415334506,18.553753100000904,dice,none,inverse_frequency,1.0,1.0,0.0,dice,4,cuda,True
fair_resnet50_v2,fair_resnet50_v2_fcn32s_resnet50_dil0_bilin1_pre1,fcn32s_resnet50_dil0_bilin1_pre1,fcn32s,resnet50,0,0,10,0.028785878309497127,0.02747509814798832,0.6395492398293195,0.7551430613506193,0.9728673309579546,0.0005611516415334506,18.30388849999872,dice,none,inverse_frequency,1.0,1.0,0.0,dice,4,cuda,True
