run_prefix,db_name,study_name,architecture,encoder_name,trial,fold,epoch,train_loss,valid_loss,validation_mean_iou,validation_mean_dice,validation_pixel_accuracy,learning_rate,epoch_time_sec,loss,class_weights,class_weight_strategy,ce_weight,dice_weight,foreground_aux_weight,validation_loss_mode,batch_size,device,use_amp
fair_resnet50_v2,fair_resnet50_v2_fcn16s_resnet50_dil0_bilin1_pre1,fcn16s_resnet50_dil0_bilin1_pre1,fcn16s,resnet50,0,0,0,0.48264266042797654,0.4205116331577301,0.4345346996486991,0.5355791606150446,0.8257877218951662,0.0005611516415334506,93.40235389999725,dice,none,inverse_frequency,1.0,1.0,0.0,dice,4,cuda,True
fair_resnet50_v2,fair_resnet50_v2_fcn16s_resnet50_dil0_bilin1_pre1,fcn16s_resnet50_dil0_bilin1_pre1,fcn16s,resnet50,0,0,1,0.3980487319054427,0.4200446605682373,0.36171302049532317,0.4633276678277522,0.777055627409647,0.0005611516415334506,20.624194399999396,dice,none,inverse_frequency,1.0,1.0,0.0,dice,4,cuda,True
fair_resnet50_v2,fair_resnet50_v2_fcn16s_resnet50_dil0_bilin1_pre1,fcn16s_resnet50_dil0_bilin1_pre1,fcn16s,resnet50,0,0,2,0.3326396380309705,0.3797455430030823,0.3705014107469921,0.47253828478282395,0.7839239365172291,0.0005611516415334506,18.532299700000294,dice,none,inverse_frequency,1.0,1.0,0.0,dice,4,cuda,True
fair_resnet50_v2,fair_resnet50_v2_fcn16s_resnet50_dil0_bilin1_pre1,fcn16s_resnet50_dil0_bilin1_pre1,fcn16s,resnet50,0,0,3,0.277063732125141,0.26348915696144104,0.46357633148770816,0.5699290826766064,0.8955149868296671,0.0005611516415334506,18.857697900002677,dice,none,inverse_frequency,1.0,1.0,0.0,dice,4,cuda,True
fair_resnet50_v2,fair_resnet50_v2_fcn16s_resnet50_dil0_bilin1_pre1,fcn16s_resnet50_dil0_bilin1_pre1,fcn16s,resnet50,0,0,4,0.23241845424528476,0.21035462617874146,0.5268450407718425,0.6344523431881092,0.9301004721986963,0.0005611516415334506,18.836441699997522,dice,none,inverse_frequency,1.0,1.0,0.0,dice,4,cuda,True
fair_resnet50_v2,fair_resnet50_v2_fcn16s_resnet50_dil0_bilin1_pre1,fcn16s_resnet50_dil0_bilin1_pre1,fcn16s,resnet50,0,0,5,0.19657915929953257,0.18468479812145233,0.5494267305558344,0.6608469686373862,0.9378954997816987,0.0005611516415334506,18.28316409999752,dice,none,inverse_frequency,1.0,1.0,0.0,dice,4,cuda,True
fair_resnet50_v2,fair_resnet50_v2_fcn16s_resnet50_dil0_bilin1_pre1,fcn16s_resnet50_dil0_bilin1_pre1,fcn16s,resnet50,0,0,6,0.16761815741106315,0.16139332950115204,0.5564227361089186,0.6656777235148154,0.945250434443634,0.0005611516415334506,18.894575700000132,dice,none,inverse_frequency,1.0,1.0,0.0,dice,4,cuda,True
fair_resnet50_v2,fair_resnet50_v2_fcn16s_resnet50_dil0_bilin1_pre1,fcn16s_resnet50_dil0_bilin1_pre1,fcn16s,resnet50,0,0,7,0.14351888574935773,0.12837384641170502,0.6248780073645112,0.7385159984596051,0.962127512256994,0.0005611516415334506,20.068549700001313,dice,none,inverse_frequency,1.0,1.0,0.0,dice,4,cuda,True
fair_resnet50_v2,fair_resnet50_v2_fcn16s_resnet50_dil0_bilin1_pre1,fcn16s_resnet50_dil0_bilin1_pre1,fcn16s,resnet50,0,0,8,0.12431102654448262,0.1163698360323906,0.633347394871383,0.7506990388811295,0.961028066129174,0.0005611516415334506,19.902638300001854,dice,none,inverse_frequency,1.0,1.0,0.0,dice,4,cuda,True
fair_resnet50_v2,fair_resnet50_v2_fcn16s_resnet50_dil0_bilin1_pre1,fcn16s_resnet50_dil0_bilin1_pre1,fcn16s,resnet50,0,0,9,0.10904472735193041,0.10305868834257126,0.6386466410815989,0.7520580482742728,0.9658842430963345,0.0005611516415334506,19.519071499998972,dice,none,inverse_frequency,1.0,1.0,0.0,dice,4,cuda,True
fair_resnet50_v2,fair_resnet50_v2_fcn16s_resnet50_dil0_bilin1_pre1,fcn16s_resnet50_dil0_bilin1_pre1,fcn16s,resnet50,0,0,10,0.09512395279275046,0.08624950051307678,0.671328505030147,0.7827446457362474,0.9723044017918917,0.0005611516415334506,19.70535480000035,dice,none,inverse_frequency,1.0,1.0,0.0,dice,4,cuda,True
fair_resnet50_v2,fair_resnet50_v2_fcn16s_resnet50_dil0_bilin1_pre1,fcn16s_resnet50_dil0_bilin1_pre1,fcn16s,resnet50,0,0,11,0.08433702858509841,0.07832448184490204,0.6964235469881986,0.8056363541704008,0.9724341604791306,0.0005611516415334506,20.39427749999959,dice,none,inverse_frequency,1.0,1.0,0.0,dice,4,cuda,True
fair_resnet50_v2,fair_resnet50_v2_fcn16s_resnet50_dil0_bilin1_pre1,fcn16s_resnet50_dil0_bilin1_pre1,fcn16s,resnet50,0,0,12,0.07523031058134856,0.06898388266563416,0.7196630535917655,0.8239131614512586,0.9763721163291709,0.0005611516415334506,18.83943999999974,dice,none,inverse_frequency,1.0,1.0,0.0,dice,4,cuda,True
fair_resnet50_v2,fair_resnet50_v2_fcn16s_resnet50_dil0_bilin1_pre1,fcn16s_resnet50_dil0_bilin1_pre1,fcn16s,resnet50,0,0,13,0.06734671151196515,0.06310707330703735,0.7165062207574527,0.8215204305847866,0.97578093601958,0.0005611516415334506,19.422071699998924,dice,none,inverse_frequency,1.0,1.0,0.0,dice,4,cuda,True
fair_resnet50_v2,fair_resnet50_v2_fcn16s_resnet50_dil0_bilin1_pre1,fcn16s_resnet50_dil0_bilin1_pre1,fcn16s,resnet50,0,0,14,0.060332557669392335,0.0551806204020977,0.7424628902934356,0.8415328924749915,0.9793198775883328,0.0005611516415334506,19.786490300000878,dice,none,inverse_frequency,1.0,1.0,0.0,dice,4,cuda,True
fair_resnet50_v2,fair_resnet50_v2_fcn16s_resnet50_dil0_bilin1_pre1,fcn16s_resnet50_dil0_bilin1_pre1,fcn16s,resnet50,0,0,15,0.05665516279361866,0.05164545401930809,0.7254789902213413,0.8278472399867912,0.9796509633079103,0.0005611516415334506,19.78475239999898,dice,none,inverse_frequency,1.0,1.0,0.0,dice,4,cuda,True
fair_resnet50_v2,fair_resnet50_v2_fcn16s_resnet50_dil0_bilin1_pre1,fcn16s_resnet50_dil0_bilin1_pre1,fcn16s,resnet50,0,0,16,0.05060398159203706,0.047111738473176956,0.736653044374393,0.8364575782645858,0.9805110054278956,0.0005611516415334506,20.800782100002834,dice,none,inverse_frequency,1.0,1.0,0.0,dice,4,cuda,True
fair_resnet50_v2,fair_resnet50_v2_fcn16s_resnet50_dil0_bilin1_pre1,fcn16s_resnet50_dil0_bilin1_pre1,fcn16s,resnet50,0,0,17,0.04599288061813072,0.042696159332990646,0.7566615111172349,0.8520400186412446,0.9820866381415126,0.0005611516415334506,20.08703239999886,dice,none,inverse_frequency,1.0,1.0,0.0,dice,4,cuda,True
fair_resnet50_v2,fair_resnet50_v2_fcn16s_resnet50_dil0_bilin1_pre1,fcn16s_resnet50_dil0_bilin1_pre1,fcn16s,resnet50,0,0,18,0.04229254209332996,0.040010955184698105,0.7574507320233216,0.8525041786621349,0.9818219855773317,0.0005611516415334506,18.78954199999862,dice,none,inverse_frequency,1.0,1.0,0.0,dice,4,cuda,True
fair_resnet50_v2,fair_resnet50_v2_fcn16s_resnet50_dil0_bilin1_pre1,fcn16s_resnet50_dil0_bilin1_pre1,fcn16s,resnet50,0,0,19,0.03940007879778191,0.03541893884539604,0.7696216334823521,0.861516287625772,0.9829614314018055,0.0005611516415334506,18.449848999996902,dice,none,inverse_frequency,1.0,1.0,0.0,dice,4,cuda,True
fair_resnet50_v2,fair_resnet50_v2_fcn16s_resnet50_dil0_bilin1_pre1,fcn16s_resnet50_dil0_bilin1_pre1,fcn16s,resnet50,0,0,20,0.03652997623991083,0.03311987966299057,0.7574244927691335,0.852172461316895,0.9831549472768475,0.0005611516415334506,18.339864900000975,dice,none,inverse_frequency,1.0,1.0,0.0,dice,4,cuda,True
fair_resnet50_v2,fair_resnet50_v2_fcn16s_resnet50_dil0_bilin1_pre1,fcn16s_resnet50_dil0_bilin1_pre1,fcn16s,resnet50,0,0,21,0.03455250329441494,0.031787190586328506,0.7500322115514996,0.8463497194044526,0.9831167283340742,0.0005611516415334506,17.740119899997808,dice,none,inverse_frequency,1.0,1.0,0.0,dice,4,cuda,True
fair_resnet50_v2,fair_resnet50_v2_fcn16s_resnet50_dil0_bilin1_pre1,fcn16s_resnet50_dil0_bilin1_pre1,fcn16s,resnet50,0,0,22,0.03229971941974428,0.02938356064260006,0.7677090684095825,0.8599250074290233,0.983438885831704,0.0005611516415334506,17.978178000001208,dice,none,inverse_frequency,1.0,1.0,0.0,dice,4,cuda,True
fair_resnet50_v2,fair_resnet50_v2_fcn16s_resnet50_dil0_bilin1_pre1,fcn16s_resnet50_dil0_bilin1_pre1,fcn16s,resnet50,0,0,23,0.03023448360187036,0.029112910851836205,0.7708435608292259,0.8622804443688051,0.9836555969979133,0.0005611516415334506,17.894809900000837,dice,none,inverse_frequency,1.0,1.0,0.0,dice,4,cuda,True
fair_resnet50_v2,fair_resnet50_v2_fcn16s_resnet50_dil0_bilin1_pre1,fcn16s_resnet50_dil0_bilin1_pre1,fcn16s,resnet50,0,0,24,0.02855835380377593,0.02722550556063652,0.7700360039311981,0.8615184558648763,0.9838171907612476,0.0005611516415334506,17.832654299996648,dice,none,inverse_frequency,1.0,1.0,0.0,dice,4,cuda,True
fair_resnet50_v2,fair_resnet50_v2_fcn16s_resnet50_dil0_bilin1_pre1,fcn16s_resnet50_dil0_bilin1_pre1,fcn16s,resnet50,0,0,25,0.027470657560560437,0.02582535520195961,0.7735608703578721,0.8641852815860221,0.9841834983191338,0.0005611516415334506,18.79785510000147,dice,none,inverse_frequency,1.0,1.0,0.0,dice,4,cuda,True
